NAME,club_name,league_name,x,value_eur,RATIING,potential,wage_eur,age,dob,height_cm,weight_kg,club_position
A. Pavlović,Brøndby IF,Danish Superliga,,775000,65,65,5000,27,1993-11-16,189,76,SUB
M. Holzmann,FC Academica Clinceni,Romanian Liga I,,625000,65,65,2000,30,1990-09-03,174,75,RES
D. Stec,TSV Egger Glas Hartberg,Austrian Football Bundesliga,,700000,65,65,2000,27,1994-05-10,178,72,RM
Đ. Nikolić,FC Basel 1893,Swiss Super League,,1400000,65,73,2000,24,1997-04-13,195,91,SUB
J. Rodríguez,Real Sporting de Gijón,Spanish Segunda División,,1600000,65,74,5000,23,1998-06-19,180,69,SUB
Raúl Navarro,Burgos CF,Spanish Segunda División,,750000,65,66,2000,27,1994-02-07,174,66,SUB
Y. Demoncy,Paris FC,French Ligue 2,,1300000,65,72,2000,25,1996-04-07,180,68,SUB
N. Gorosito,AD Alcorcón,Spanish Segunda División,,475000,65,65,3000,32,1988-08-17,186,79,SUB
T. Duman,1. FC Nürnberg,German 2. Bundesliga,,1100000,65,70,3000,23,1997-07-30,180,75,SUB
S. Müller,Hallescher FC,German 3. Bundesliga,,875000,65,71,950,25,1996-02-16,190,82,GK
O. Kakabadze,Cracovia,Polish T-Mobile Ekstraklasa,,775000,65,66,3000,26,1995-06-27,186,79,SUB
J. Smith,Burton Albion,English League One,,1100000,65,71,2000,23,1997-07-28,173,70,RM
M. Nicolas,Viktoria Köln,German 3. Bundesliga,,925000,65,71,4000,23,1997-10-21,197,87,GK
I. Escobar,Godoy Cruz,Argentina Primera División,,975000,65,70,4000,25,1996-05-29,172,63,SUB
L. Thomas,Bristol Rovers,English League Two,,1600000,65,75,9000,22,1999-02-19,168,66,RW
Léo Sena,Spezia,Italian Serie A,,900000,65,67,5000,25,1995-12-31,175,71,SUB
P. Menzel,SK Austria Klagenfurt,Austrian Football Bundesliga,,925000,65,71,2000,22,1998-08-18,192,84,GK
A. Famewo,Charlton Athletic,English League One,,1500000,65,73,7000,22,1998-11-09,187,66,LCB
K. Pestka,Cracovia,Polish T-Mobile Ekstraklasa,,1000000,65,70,2000,22,1998-08-22,188,67,LB
T. Pearce,Wigan Athletic,English League One,,1400000,65,72,1000,23,1998-04-12,185,70,LB
S. Ngezana,Kaizer Chiefs,South African Premier Division,,1300000,65,72,500,23,1997-07-15,185,77,SUB
Rafa Mújica,Unión Deportiva Las Palmas,Spanish Segunda División,,1600000,65,75,3000,22,1998-10-29,185,70,SUB
R. Sykes,Accrington Stanley,English League One,,1300000,65,72,1000,22,1999-03-26,196,73,RCB
P. Sisniega,Los Angeles FC,USA Major League Soccer,,825000,65,70,2000,25,1995-07-07,192,79,SUB
Y. Diouf,Stade de Reims,French Ligue 1,,1500000,65,77,3000,21,1999-11-16,184,74,SUB
A. Morley,Rochdale,English League Two,,1500000,65,74,2000,21,2000-02-27,183,72,RCM
P. Gartler,SK Rapid Wien,Austrian Football Bundesliga,,800000,65,69,5000,24,1997-03-10,187,75,SUB
M. Woud,,,,,65,75,,22,1999-01-16,196,85,
M. Grødem,Molde FK,Norwegian Eliteserien,,1600000,65,74,2000,22,1998-08-14,192,78,SUB
Strefezza,Lecce,Italian Serie B,,1100000,65,70,1000,24,1997-04-18,168,65,RW
A. Borkovic,SK Sturm Graz,Austrian Football Bundesliga,,1500000,65,74,4000,22,1999-06-11,184,74,RES
C. Herc,Grasshopper Club Zürich,Swiss Super League,,1600000,65,74,3000,22,1998-09-30,185,72,LW
Javi Díaz,Sevilla FC,Spain Primera Division,,1400000,65,73,4000,24,1997-05-15,182,75,RES
Kauã Reisende,Bahia,Campeonato Brasileiro Série A,,700000,65,65,4000,29,1992-02-29,182,75,SUB
B. Woodburn,Heart of Midlothian,Scottish Premiership,,1600000,65,75,15000,21,1999-10-15,174,72,SUB
J. Orejuela,CS Emelec,Ecuadorian Serie A,,700000,65,66,500,28,1993-02-14,179,75,SUB
I. Conté,Chamois Niortais Football Club,French Ligue 2,,950000,65,70,2000,25,1996-04-03,191,82,LCB
F. Negri,Newell's Old Boys,Argentina Primera División,,850000,65,66,4000,26,1995-02-20,174,76,SUB
A. Jones,Hull City,English League Championship,,1500000,65,74,3000,23,1997-10-07,188,70,SUB
H. Darling,Milton Keynes Dons,English League One,,1500000,65,74,2000,21,1999-08-08,180,75,CB
D. Rigo,PSV,Holland Eredivisie,,1500000,65,74,4000,22,1998-12-11,180,75,RES
J. Kade,SG Dynamo Dresden,German 2. Bundesliga,,1600000,65,73,4000,22,1999-05-20,182,67,LCM
C. Operi,KAA Gent,Belgian Jupiler Pro League,,1000000,65,70,5000,24,1997-04-29,183,78,SUB
D. Adeniran,Sheffield Wednesday,English League One,,1600000,65,74,2000,22,1999-01-02,180,75,RCM
J. Iritier,Club Atlético Aldosivi,Argentina Primera División,,850000,65,66,4000,26,1994-12-20,169,70,SUB
S. Sørli,FK Bodø/Glimt,Norwegian Eliteserien,,950000,65,68,2000,25,1995-10-30,178,67,RES
K. Lunding,Heracles Almelo,Holland Eredivisie,,1600000,65,74,2000,21,1999-07-17,178,69,SUB
A. Seydel,SV Darmstadt 98,German 2. Bundesliga,,950000,65,68,4000,25,1996-02-07,199,90,SUB
A. Poulsen,FC Ingolstadt 04,German 2. Bundesliga,,1500000,65,74,5000,21,1999-10-13,188,80,SUB
D. Genreau,Toulouse Football Club,French Ligue 2,,1600000,65,75,2000,22,1999-05-21,175,75,SUB
T. Pasher,Houston Dynamo,USA Major League Soccer,,750000,65,65,2000,27,1994-04-22,175,72,RM
R. Cooney,Morecambe,English League One,,1400000,65,72,2000,21,2000-02-26,176,68,RB
Darío Poveda,Getafe CF,Spain Primera Division,,1400000,65,72,7000,24,1997-03-13,185,75,RES
S. Richey,Seattle Sounders FC,USA Major League Soccer,,550000,65,66,2000,29,1992-05-30,185,88,SUB
Y. Merdji,Chamois Niortais Football Club,French Ligue 2,,775000,65,65,2000,27,1993-10-29,175,69,ST
K. Ford,Colorado Rapids,USA Major League Soccer,,1300000,65,72,2000,25,1996-01-26,188,84,SUB
C. Bramall,Lincoln City,English League One,,875000,65,68,3000,25,1996-04-02,178,72,SUB
N. Hansen,Minnesota United FC,USA Major League Soccer,,775000,65,65,2000,26,1994-09-30,178,77,SUB
J. Nyholm,Djurgårdens IF,Swedish Allsvenskan,,750000,65,67,2000,27,1993-09-10,183,74,SUB
D. Mitchell,Blackpool,English League Championship,,1000000,65,70,3000,24,1997-01-11,181,71,SUB
A. May,Cheltenham Town,English League One,,775000,65,65,3000,27,1993-07-03,176,72,RS
G. Kastanos,US Salernitana 1919,Italian Serie A,,1600000,65,73,13000,23,1998-01-30,179,71,RES
A. Abdallah,Grenoble Foot 38,French Ligue 2,,1100000,65,71,2000,23,1997-08-18,170,68,LB
B. Passi,Chamois Niortais Football Club,French Ligue 2,,1000000,65,71,2000,23,1997-08-05,189,78,RCB
L. Bengtsson,BK Häcken,Swedish Allsvenskan,,1400000,65,72,2000,23,1998-05-26,179,65,LW
I. Harkes,Dundee United,Scottish Premiership,,875000,65,67,2000,26,1995-03-30,180,73,SUB
F. Antonucci,Feyenoord,Holland Eredivisie,,1600000,65,76,2000,22,1999-06-20,172,66,SUB
V. Janjičić,FC Zürich,Swiss Super League,,1400000,65,72,4000,22,1998-11-02,180,82,SUB
T. Matsumoto,Sanfrecce Hiroshima,Japanese J. League Division 1,,1400000,65,72,3000,22,1998-08-22,180,70,RES
J. Pourtau,Estudiantes de La Plata,Argentina Primera División,,1500000,65,78,2000,21,2000-01-23,193,87,SUB
M. Blauensteiner,SK Austria Klagenfurt,Austrian Football Bundesliga,,775000,65,66,3000,26,1995-02-11,180,79,RB
M. Ortega,Tigres U.A.N.L.,Mexican Liga MX,,825000,65,70,8000,26,1995-04-13,193,74,SUB
S. Ambri,FC Sochaux-Montbéliard,French Ligue 2,,1100000,65,71,2000,23,1997-08-12,178,64,SUB
A. Al Khaibari,Al Nassr,Saudi Abdul L. Jameel League,,1300000,65,72,7000,24,1996-08-16,175,66,SUB
Y. Tatsuta,Shimizu S-Pulse,Japanese J. League Division 1,,1300000,65,72,1000,23,1998-06-21,191,81,LCB
T. Kishimoto,Tokushima Vortis,Japanese J. League Division 1,,1100000,65,71,1000,23,1997-07-16,174,66,RB
K. Sugimoto,Yokohama F. Marinos,Japanese J. League Division 1,,725000,65,65,4000,28,1992-11-18,187,79,SUB
J. Bowler,Blackpool,English League Championship,,1100000,65,71,3000,22,1999-03-05,175,75,RM
D. Cancola,Ross County FC,Scottish Premiership,,1000000,65,71,2000,24,1996-10-23,183,73,LDM
Y. Koide,Oita Trinita,Japanese J. League Division 1,,775000,65,66,1000,26,1994-10-20,180,75,SUB
I. Jome,Portland Timbers,USA Major League Soccer,,700000,65,65,2000,26,1994-11-04,185,73,RES
T. Hara,Shimizu S-Pulse,Japanese J. League Division 1,,1000000,65,71,1000,22,1998-07-30,180,74,RB
A. Al Obud,Al Ittihad,Saudi Abdul L. Jameel League,,850000,65,66,9000,26,1995-06-01,174,70,SUB
M. Bułka,OGC Nice,French Ligue 1,,1400000,65,76,8000,21,1999-10-04,199,90,SUB
H. Vetlesen,FK Bodø/Glimt,Norwegian Eliteserien,,1600000,65,75,1000,21,2000-02-29,174,72,SUB
F. Knudsen,SK Brann,Norwegian Eliteserien,,1300000,65,72,1000,24,1996-08-30,190,83,LCB
L. Pizarro,Godoy Cruz,Argentina Primera División,,1100000,65,71,3000,23,1997-07-14,186,75,SUB
K. Tagawa,FC Tokyo,Japanese J. League Division 1,,1500000,65,72,3000,22,1999-02-11,181,70,SUB
S. Raggett,Portsmouth,English League One,,750000,65,67,3000,27,1994-01-25,196,89,LCB
H. Al Shamrani,Al Ittihad,Saudi Abdul L. Jameel League,,950000,65,69,7000,24,1996-12-14,178,77,SUB
B. Rother,F.C. Hansa Rostock,German 2. Bundesliga,,925000,65,69,2000,24,1996-07-29,184,81,SUB
T. Jacobsen,SV Werder Bremen,German 2. Bundesliga,,925000,65,69,3000,24,1997-04-19,182,76,SUB
D. Ernst,1. FC Saarbrücken,German 3. Bundesliga,,625000,65,65,2000,30,1990-08-08,178,72,RB
B. Girth,Eintracht Braunschweig,German 3. Bundesliga,,725000,65,65,2000,29,1992-01-31,181,82,SUB
C. Greger,Viktoria Köln,German 3. Bundesliga,,1000000,65,71,1000,24,1997-01-14,193,81,CB
L. Leahy,Shrewsbury Town,English League One,,650000,65,65,3000,28,1992-11-19,178,73,LCM
E. Botheim,FK Bodø/Glimt,Norwegian Eliteserien,,1600000,65,75,1000,21,2000-01-10,180,70,ST
F. Eboa Eboa,En Avant de Guingamp,French Ligue 2,,925000,65,69,2000,24,1997-04-19,186,80,SUB
R. Bushiri,Norwich City,English Premier League,,1500000,65,74,6000,21,1999-11-30,187,91,RES
Foguinho,Vegalta Sendai,Japanese J. League Division 1,,600000,65,65,2000,29,1992-06-15,180,75,LCM
N. Bakboord,Heracles Almelo,Holland Eredivisie,,1400000,65,72,2000,22,1999-01-29,177,74,SUB
A. Petre,FC Farul Constanța,Romanian Liga I,,1000000,65,69,3000,23,1998-02-11,188,85,SUB
S. Bösel,1. FC Saarbrücken,German 3. Bundesliga,,800000,65,67,2000,26,1994-10-24,180,70,SUB
M. Rossmann,Viktoria Köln,German 3. Bundesliga,,825000,65,68,2000,26,1995-05-06,192,90,RCB
A. Kovačević,Ferencvárosi TC,Hungarian Nemzeti Bajnokság I,,650000,65,65,500,27,1993-09-09,189,80,SUB
L. Scherff,F.C. Hansa Rostock,German 2. Bundesliga,,950000,65,69,2000,24,1996-07-14,175,70,LB
A. Zreľák,Warta Poznań,Polish T-Mobile Ekstraklasa,,825000,65,66,1000,27,1994-05-05,183,80,ST
F. Wagner,SV Waldhof Mannheim 07,German 3. Bundesliga,,1300000,65,72,1000,23,1997-09-23,182,78,SUB
J. Lescano,Brisbane Roar,Australian Hyundai A-League,,725000,65,65,2000,28,1992-10-29,187,79,ST
A. Ocejo,Santos Laguna,Mexican Liga MX,,1100000,65,71,5000,23,1998-06-16,180,71,SUB
A. Jallow,Seraing,Belgian Jupiler Pro League,,1500000,65,72,4000,22,1998-11-14,166,62,RM
Y. Akgün,Adana Demirspor,Turkish Süper Lig,,1600000,65,74,9000,20,2000-07-07,173,65,SUB
T. Müller,1. FC Magdeburg,German 3. Bundesliga,,825000,65,68,1000,26,1994-07-08,188,80,RCB
Á. Kecskés,,,,,65,72,,25,1996-01-04,190,75,
J. Arp,Holstein Kiel,German 2. Bundesliga,,1600000,65,76,12000,21,2000-01-06,184,78,SUB
Pedro Silva,FC Vizela,Portuguese Liga ZON SAGRES,,800000,65,69,1000,24,1997-02-13,189,76,SUB
D. Gomis,Pau FC,French Ligue 2,,725000,65,65,2000,28,1992-12-21,173,68,LM
S. Al Nabit,Al Taawoun,Saudi Abdul L. Jameel League,,800000,65,65,6000,25,1996-03-27,174,68,SUB
K. Michalak,İttifak Holding Konyaspor,Turkish Süper Lig,,1600000,65,73,4000,23,1997-09-19,174,61,SUB
D. Petković,Angers SCO,French Ligue 1,,650000,65,68,5000,28,1993-05-25,197,90,SUB
I. Paro,Chamois Niortais Football Club,French Ligue 2,,875000,65,69,2000,26,1994-10-16,184,79,RES
T. Tillman,SpVgg Greuther Fürth,German 1. Bundesliga,,1600000,65,73,6000,22,1999-01-04,183,74,SUB
Panutche Camará,Plymouth Argyle,English League One,,1100000,65,71,3000,24,1997-02-28,185,73,RCM
I. Shinozuka,Kashiwa Reysol,Japanese J. League Division 1,,850000,65,66,3000,26,1995-03-20,177,67,RES
C. Tilt,Wigan Athletic,English League One,,600000,65,65,3000,29,1991-08-04,189,75,RES
P. Ruiz,Real Salt Lake,USA Major League Soccer,,1700000,65,77,2000,22,1998-12-20,172,68,SUB
J. Beste,SSV Jahn Regensburg,German 2. Bundesliga,,1500000,65,74,3000,22,1999-01-04,174,64,RAM
L. Woolfenden,Ipswich Town,English League One,,1000000,65,71,3000,22,1998-10-21,193,75,RCB
I. Boonen,KV Oostende,Belgian Jupiler Pro League,,1500000,65,72,3000,22,1999-01-04,178,67,RCM
M. Ahlinvi,Dijon FCO,French Ligue 2,,1400000,65,72,1000,21,1999-07-02,183,68,SUB
D. Emmanouilidis,Vejle Boldklub,Danish Superliga,,1600000,65,76,2000,20,2000-10-24,175,71,LM
B. Williams,Barnsley,English League Championship,,1500000,65,74,8000,22,1999-03-31,178,75,SUB
A. Pears,Blackburn Rovers,English League Championship,,1400000,65,74,7000,23,1998-04-23,186,72,SUB
J. Doyle-Hayes,Hibernian,Scottish Premiership,,1000000,65,70,2000,22,1998-12-30,175,68,SUB
D. Tchamba,SønderjyskE,Danish Superliga,,1000000,65,71,3000,22,1998-07-10,191,79,RCB
G. Johnston,Bolton Wanderers,English League One,,1500000,65,75,2000,22,1998-09-01,181,78,LCB
L. Pintor,Olympique Lyonnais,French Ligue 1,,1600000,65,75,11000,20,2000-08-05,179,66,RES
M. Mattsson,N.E.C. Nijmegen,Holland Eredivisie,,1600000,65,74,3000,22,1999-02-25,174,63,SUB
E. Ebosse,Angers SCO,French Ligue 1,,1500000,65,74,5000,22,1999-03-11,185,75,SUB
J. Brown,Sheffield Wednesday,English League One,,1500000,65,73,2000,22,1999-01-24,175,72,LW
T. Eyoma,Lincoln City,English League One,,1500000,65,73,2000,21,2000-01-29,183,76,SUB
M. Osores,Atlético Tucumán,Argentina Primera División,,1500000,65,73,3000,24,1997-02-20,190,78,SUB
R. Callachan,Ross County FC,Scottish Premiership,,750000,65,65,2000,27,1993-09-04,178,70,CAM
S. Benda,Swansea City,English League Championship,,1200000,65,72,5000,22,1998-10-01,193,83,GK
B. Hansen,FK Haugesund,Norwegian Eliteserien,,800000,65,68,1000,27,1994-02-07,189,75,LCB
T. Knöll,Türkgücü München,German 3. Bundesliga,,1400000,65,72,2000,23,1997-09-13,184,80,SUB
D. Maekawa,Vissel Kobe,Japanese J. League Division 1,,725000,65,68,2000,26,1994-09-08,191,86,GK
A. Bruus,Brøndby IF,Danish Superliga,,1100000,65,71,3000,22,1999-01-16,184,79,RWB
C. Bassey,Rangers FC,Scottish Premiership,,1700000,65,79,8000,21,1999-12-31,185,76,SUB
Mario Hernández,Rayo Vallecano,Spain Primera Division,,1500000,65,76,4000,22,1999-01-25,178,69,RES
Chen Binbin,Shanghai Port FC,Chinese Super League,,1600000,65,73,5000,23,1998-06-10,175,68,SUB
T. Goppel,SV Wehen Wiesbaden,German 3. Bundesliga,,1100000,65,71,2000,24,1997-02-16,178,73,RW
S. Farhan,Al Raed,Saudi Abdul L. Jameel League,,1500000,65,73,4000,24,1996-09-25,170,70,RCM
S. Odey,Randers FC,Danish Superliga,,1400000,65,72,4000,23,1998-01-15,182,78,SUB
A. Ouahim,SV Sandhausen,German 2. Bundesliga,,1000000,65,69,2000,23,1997-09-23,175,66,SUB
D. Sugioka,Shonan Bellmare,Japanese J. League Division 1,,1500000,65,72,2000,22,1998-09-08,182,75,RES
N. Carnat,Rapid București,Romanian Liga I,,1400000,65,72,4000,23,1998-04-08,181,73,RM
W. Vorsager,FC Flyeralarm Admira,Austrian Football Bundesliga,,1000000,65,70,2000,24,1997-06-29,189,78,RCB
N. Al Dawsari,Al Hilal,Saudi Abdul L. Jameel League,,1500000,65,76,7000,22,1998-12-19,178,68,SUB
T. Boni,Belenenses SAD,Portuguese Liga ZON SAGRES,,1500000,65,74,1000,21,1999-12-21,188,84,RCM
Chris Ramos,CD Lugo,Spanish Segunda División,,1100000,65,71,2000,24,1997-01-18,193,80,LM
S. Ntiya-Ntiya,Kaizer Chiefs,South African Premier Division,,1000000,65,70,500,24,1996-10-06,166,62,RES
L. Moser,SK Austria Klagenfurt,Austrian Football Bundesliga,,1400000,65,74,4000,21,1999-12-06,196,88,SUB
J. Blázquez,Club Atlético Talleres,Argentina Primera División,,1700000,65,81,2000,20,2001-01-28,193,87,SUB
O. Solbakken,FK Bodø/Glimt,Norwegian Eliteserien,,1600000,65,73,2000,22,1998-09-07,186,79,RW
R. Alm,IF Elfsborg,Swedish Allsvenskan,,850000,65,66,2000,25,1995-08-17,174,70,RW
Oriol Rey,CD Mirandés,Spanish Segunda División,,1500000,65,75,2000,23,1998-02-25,180,71,CDM
C. Hazard,Celtic,Scottish Premiership,,1400000,65,75,8000,23,1998-03-05,198,86,RES
L. Recalde,Platense,Argentina Primera División,,900000,65,69,3000,25,1995-08-12,185,80,SUB
Arnau Puigmal,Unión Deportiva Almería,Spanish Segunda División,,1700000,65,80,2000,20,2001-01-10,173,65,RES
C. Klarer,Fortuna Düsseldorf,German 2. Bundesliga,,1500000,65,76,4000,21,2000-06-14,191,82,RCB
A. Benga,AFC UTA Arad,Romanian Liga I,,475000,65,65,3000,32,1989-06-15,188,83,SUB
A. Gryszkiewicz,Górnik Zabrze,Polish T-Mobile Ekstraklasa,,1300000,65,72,1000,21,1999-12-13,185,83,LCB
F. Purece,FC Farul Constanța,Romanian Liga I,,700000,65,65,3000,29,1991-11-06,182,73,SUB
T. Buitink,Vitesse,Holland Eredivisie,,1600000,65,74,4000,21,2000-06-14,174,68,SUB
H. Ishihara,Shonan Bellmare,Japanese J. League Division 1,,1300000,65,72,1000,22,1999-02-26,169,65,CB
E. Chilufya,Djurgårdens IF,Swedish Allsvenskan,,1800000,65,80,2000,21,1999-09-17,171,68,RW
O. Bjørtuft,Odds BK,Norwegian Eliteserien,,1500000,65,74,1000,22,1998-12-19,185,75,RCB
T. Christensen,Vålerenga Fotball,Norwegian Eliteserien,,1600000,65,75,1000,21,2000-05-11,178,73,RW
L. Fraser,Columbus Crew,USA Major League Soccer,,1300000,65,72,2000,23,1998-02-13,185,83,RDM
A. Roldan,Seattle Sounders FC,USA Major League Soccer,,975000,65,68,2000,24,1996-07-28,178,70,RM
M. Breij,SC Cambuur,Holland Eredivisie,,1000000,65,69,2000,24,1997-01-15,181,72,RCM
A. Fuenmayor,Houston Dynamo,USA Major League Soccer,,1300000,65,72,2000,24,1996-08-29,184,80,SUB
A. Aremu,FC St. Pauli,German 2. Bundesliga,,1700000,65,77,3000,21,1999-10-03,181,77,SUB
H. Carter,Blackburn Rovers,English League Championship,,1500000,65,73,7000,21,1999-12-17,188,67,SUB
G. Tanner,Bristol City,English League Championship,,1500000,65,74,6000,21,1999-11-16,181,71,SUB
A. Šušnjar,Macarthur FC,Australian Hyundai A-League,,900000,65,69,1000,25,1995-08-19,191,81,LCB
A. Appiah,Unión Deportiva Almería,Spanish Segunda División,,1700000,65,80,2000,20,2001-01-05,175,63,SUB
E. Alvarez,LA Galaxy,USA Major League Soccer,,1700000,65,79,1000,19,2002-06-19,173,68,SUB
K. Nakamura,LASK Linz,Austrian Football Bundesliga,,1600000,65,74,5000,20,2000-07-28,180,75,RES
M. Cholewiak,Górnik Zabrze,Polish T-Mobile Ekstraklasa,,600000,65,65,2000,31,1990-02-05,183,78,SUB
T. Sanuç,Adana Demirspor,Turkish Süper Lig,,1500000,65,76,3000,21,1999-12-17,188,80,RCB
D. Cornelius,,,,,65,71,,23,1997-11-25,187,86,
J. Guttau,Hallescher FC,German 3. Bundesliga,,1600000,65,76,1000,21,1999-10-29,180,70,LM
N. Ofoborh,Rangers FC,Scottish Premiership,,1700000,65,77,8000,21,1999-11-07,175,80,RES
Carlos Isaac,Real Oviedo,Spanish Segunda División,,1500000,65,74,5000,23,1998-04-30,184,74,SUB
Manu Hernando,CD Tondela,Portuguese Liga ZON SAGRES,,1500000,65,76,2000,22,1998-07-19,183,70,SUB
Y. Goke,Vissel Kobe,Japanese J. League Division 1,,1600000,65,74,2000,22,1999-06-10,183,74,RCM
A. Buongiorno,Torino F.C.,Italian Serie A,,1500000,65,76,8000,22,1999-06-06,194,80,LCB
T. Hamer,Burton Albion,English League One,,1500000,65,74,1000,21,1999-10-01,188,80,LB
F. Hörberg,Östersunds FK,Swedish Allsvenskan,,1500000,65,74,1000,22,1999-05-19,180,74,RWB
D. Pereira,Luton Town,English League Championship,,1500000,65,72,3000,22,1999-03-25,175,70,SUB
B. Mumba,Norwich City,English Premier League,,1600000,65,78,4000,19,2001-10-08,163,61,RES
P. Sander,Holstein Kiel,German 2. Bundesliga,,1400000,65,72,6000,23,1998-02-21,185,76,RES
D. Watari,Avispa Fukuoka,Japanese J. League Division 1,,725000,65,65,2000,28,1993-06-25,176,70,SUB
C. Braun,FC Botoşani,Romanian Liga I,,625000,65,65,3000,29,1991-07-15,181,81,RB
Miguel Rubio,Burgos CF,Spanish Segunda División,,1500000,65,75,5000,23,1998-03-11,191,86,SUB
B. White,Vancouver Whitecaps FC,USA Major League Soccer,,1000000,65,69,2000,25,1996-02-03,178,77,ST
T. Barlow,New York Red Bulls,USA Major League Soccer,,950000,65,68,2000,25,1995-07-08,188,84,SUB
S. Suganuma,Gamba Osaka,Japanese J. League Division 1,,500000,65,65,3000,31,1990-05-17,182,78,SUB
M. Villa,Girona FC,Spanish Segunda División,,1400000,65,72,3000,24,1997-03-03,184,75,SUB
Juan Cruz,Real Betis Balompié,Spain Primera Division,,1800000,65,78,4000,21,2000-04-25,177,72,RES
M. Nottingham,Accrington Stanley,English League One,,475000,65,65,2000,32,1989-04-14,193,88,CB
David Tavares,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,,1600000,65,75,2000,22,1999-03-18,188,82,SUB
L. Meisl,SV Ried,Austrian Football Bundesliga,,1500000,65,73,2000,22,1999-03-04,184,78,SUB
D. Spence,Nottingham Forest,English League Championship,,1600000,65,79,5000,20,2000-08-09,184,71,RB
D. Wenzel-Halls,Western United FC,Australian Hyundai A-League,,1400000,65,72,900,23,1997-12-15,175,70,ST
K. Ludewig,FC Red Bull Salzburg,Austrian Football Bundesliga,,1500000,65,74,5000,21,2000-03-05,174,65,SUB
C. Sibbald,Livingston FC,Scottish Premiership,,875000,65,67,2000,26,1995-05-18,170,70,LCM
K. Magennis,Hibernian,Scottish Premiership,,1100000,65,71,2000,22,1998-08-26,181,73,CAM
André Ferreira,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,,875000,65,71,2000,25,1996-05-29,193,79,GK
O. Batista Meier,FC Bayern München,German 1. Bundesliga,,1700000,65,80,11000,20,2001-02-16,178,67,RES
S. Belkahia,TSV 1860 München,German 3. Bundesliga,,1500000,65,74,950,22,1998-12-22,193,89,SUB
T. Bonga,VfL Bochum 1848,German 1. Bundesliga,,1100000,65,71,6000,24,1997-01-10,197,89,SUB
B. Mendy,Angers SCO,French Ligue 1,,1700000,65,78,4000,21,2000-01-12,191,82,RDM
A. Rossipal,SV Waldhof Mannheim 07,German 3. Bundesliga,,925000,65,69,1000,25,1996-06-06,184,78,SUB
Ž. Udovičić,Raków Częstochowa,Polish T-Mobile Ekstraklasa,,450000,65,65,3000,33,1987-08-31,185,72,SUB
P. Haring,Heart of Midlothian,Scottish Premiership,,725000,65,65,2000,28,1993-06-02,187,85,LCM
L. Jephcott,Plymouth Argyle,English League One,,1600000,65,76,3000,21,2000-01-26,177,75,LS
H. Gong,Vitesse,Holland Eredivisie,,1600000,65,74,4000,22,1998-10-10,169,72,SUB
K. Watts,Wigan Athletic,English League One,,1500000,65,76,6000,21,1999-11-03,192,75,LCB
Y. Letard,LASK Linz,Austrian Football Bundesliga,,1000000,65,71,5000,22,1998-08-18,188,86,SUB
E. Gutiérrez,CF Monterrey,Mexican Liga MX,,975000,65,70,10000,25,1996-01-19,176,67,SUB
H. Sy,Amiens SC,French Ligue 2,,975000,65,70,2000,25,1996-03-30,170,75,LB
N. Stojišić,Vegalta Sendai,Japanese J. League Division 1,,925000,65,71,1000,23,1997-09-25,202,90,SUB
J. Heil,TSV Egger Glas Hartberg,Austrian Football Bundesliga,,1000000,65,70,2000,24,1997-04-04,176,70,LDM
Y. Diarra,New York Red Bulls,USA Major League Soccer,,1400000,65,72,6000,23,1998-03-24,178,73,SUB
D. Guidi,SC Bastia,French Ligue 2,,950000,65,70,2000,25,1996-02-06,177,75,SUB
P. Chato,Türkgücü München,German 3. Bundesliga,,1000000,65,70,1000,24,1996-12-01,188,85,LCB
D. Jastrzembski,Hertha BSC,German 1. Bundesliga,,1600000,65,73,8000,21,2000-02-20,177,77,SUB
İ. Durmuş,Lechia Gdańsk,Polish T-Mobile Ekstraklasa,,750000,65,65,3000,27,1994-05-01,180,73,LM
M. Naderi,Altay SK,Turkish Süper Lig,,1100000,65,71,3000,24,1996-10-05,188,86,LWB
S. Bauer,FC Flyeralarm Admira,Austrian Football Bundesliga,,675000,65,66,3000,28,1992-11-07,183,77,LCB
A. Kargbo,Crotone,Italian Serie B,,1600000,65,75,3000,21,1999-08-24,172,68,SUB
G. Whyte,Oxford United,English League One,,950000,65,68,8000,25,1996-01-31,175,67,LW
J. Schendelaar,PEC Zwolle,Holland Eredivisie,,1500000,65,78,1000,20,2000-09-02,187,87,SUB
İ. Akdağ,Yukatel Kayserispor,Turkish Süper Lig,,600000,65,65,4000,29,1991-07-21,179,75,RDM
R. Prieto,Santos Laguna,Mexican Liga MX,,1400000,65,72,5000,24,1997-03-03,172,63,SUB
M. Malec,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,,775000,65,67,2000,26,1995-04-04,190,84,SUB
A. Schott,Platense,Argentina Primera División,,1700000,65,77,3000,21,2000-01-17,175,72,RB
Cho Yu Min,Suwon FC,Korean K League 1,,1000000,65,71,1000,24,1996-11-17,182,79,RCB
R. Yamasaki,Nagoya Grampus,Japanese J. League Division 1,,725000,65,65,2000,28,1992-09-20,187,80,SUB
T. Lawal,LASK Linz,Austrian Football Bundesliga,,1400000,65,73,3000,21,2000-06-07,195,84,RES
Lee Si Young,Seongnam FC,Korean K League 1,,1100000,65,71,1000,24,1997-04-21,173,65,RES
